[2024-11-20 19:08:22,042] INFO [Broker id=0] Leader InternationalDeliveryResponse-1 with topic id Some(ZxBVNJDWScuHQXTgaFeUqw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,046] INFO [Broker id=0] Leader ExpressDeliveryRequest-0 with topic id Some(CKZjvGrvSqKk5OpUHHWtbg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,050] INFO [Broker id=0] Leader __consumer_offsets-39 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,054] INFO [Broker id=0] Leader __consumer_offsets-9 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,058] INFO [Broker id=0] Leader __consumer_offsets-24 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,062] INFO [Broker id=0] Leader InternationalDeliveryResponse-2 with topic id Some(ZxBVNJDWScuHQXTgaFeUqw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,065] INFO [Broker id=0] Leader __consumer_offsets-31 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,070] INFO [Broker id=0] Leader __consumer_offsets-46 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,075] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,078] INFO [Broker id=0] Leader StandardDeliveryReply-0 with topic id Some(UiyHEuE_Rcy8D3vuAEzOOg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
